"2021 Inventory Report (Newly Acquired Materials)"
"Date Created:","Jun 06, 2021"
"Time Created:","2:32:27 PM"
Filters:,none
Search:,none
"Number of Newly Acquired Materials:",4445

"Accession Number",Barcode,"Call Number",Title,Author,Volume,Year,Edition,Publisher,"Publication Year","Circulation Type",Type,Status,Source,Location,"Last Year Inventoried"
BC-48903,UBULB0051836,Thesis,"The effects of labeling on the self-image, self-concept. attitude and behavior of prisoners","Valdez, Carolina E.",0,0,,,1988,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48904,UBULB0051837,Thesis,"The effect of imprisonment on the self-concept and self-esteem of female prisoners","Valdez, Jocelyn N.",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48926,UBULB0051861,Thesis,"The self-concept of male homosexuals","Ylo, Mary Eleanor S.",0,0,,,1990,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48547,UBULB0051274,Thesis,"A content analysis of educational television programs of ABS-CBN, Channel 2","Laguilles, Junnery E.",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48583,UBULB0051305,Thesis,"An explanatory study on stepfamily formation and stepparents' role adjustment in Lal-lo, Cagayan","Lorenzo, Janet",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12316,UBULB0048302,Thesis,"An explanatory study on stepfamily formation and stepparents' role adjustment in Lal-lo, Cagayan","Lorenzo, Janet",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48591,UBULB0051312,Thesis,"Isang content analysis ng mga batayang aklat na HEKASI at Sibika at Kultura sa pampublikong mababang paaralan","Luna, Annalyn Pangco",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48642,UBULB0051366,Thesis,"Attitudes of first year and fourth year UPCB students regarding homosexuality","Mejia, Jonizar Paul G.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48677,UBULB0051474,Thesis,"A study on the sustainability of open-pit mining being implemented in Loakan, Itogon, Benguet","Naguit, Erwin C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9479,UBULB0051475,Thesis,"A study on the sustainability of open-pit mining being implemented in Loakan, Itogon, Benguet","Naguit, Erwin C.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48740,UBULB0051543,Thesis,"Effect of family variables (family size, family interaction, sibling interaction, type of family, birth order, sibling dyads, sibling interaction) on sense of political efficacy","Paras, Victoria Jean G.",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48751,UBULB0051554,Thesis,"Values education : an assessment","Perez, Jude John F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9500,UBULB0051555,Thesis,"Values education : an assessment","Perez, Jude John F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48758,UBULB0051560,Thesis,"An evaluation research on the social conditions of the people in Barangay Country Club","Pinkihan, Ending D.",0,0,,,1991,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-69070,UBULB0045063,Thesis,"People's participation in the delivery of health services in Villasis","Porio, Fernando M.",0,0,,,1993,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48798,UBULB0051604,Thesis,"Family dissolution : from a married person's point of view","Riego, Jacqueline T.",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48802,UBULB0051608,Thesis,"A case study on everyday forms of resistance","Rojas, Rowena P.",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48864,UBULB0051793,Thesis,"Political awareness of EDSA participants : the impact of two politicization agents - education and political events","Songco, Lani Grace Rigor.",0,0,,,1992,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12404,UBULB0055300,Thesis,"Political awareness of EDSA participants : the impact of two politicization agents - education and political events","Songco, Lani Grace Rigor.",0,0,,,1992,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48873,UBULB0051803,Thesis,"The role of political efficacy in determining the youth's participation in the 1992 Sangguniang Kabataan elections","Tabanda, Wye O. Jr.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48877,UBULB0051807,Thesis,"Factionalism among the political elites in Anda : a case study","Tambuyat, Josefa Gamponia.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48880,UBULB0051810,Thesis,"The socialization process aspect of child labor : a case study","Tandingan, Analyn Mejia",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48883,UBULB0051813,Thesis,"Collaboration and resistance in the municipality of Mangaldan, Pangasinan during the Japanese occupation","Tanguilig, Aileen Gubatan.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48897,UBULB0051829,Thesis,"A comparative study of attitude towards extramarital relations","Trinos, Ma. Teresa R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9506,UBULB0051830,Thesis,"A comparative study of attitude towards extramarital relations","Trinos, Ma. Teresa R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48906,UBULB0051839,Thesis,"A study on the characteristics of the family orientation and age at marriage of the Ibalois in Ambiong, La Trinidad, Benguet","Vallejo, Fe Gene Pascua",0,0,,,1986,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9507,UBULB0051840,Thesis,"A study on the characteristics of the family orientation and age at marriage of the Ibalois in Ambiong, La Trinidad, Benguet","Vallejo, Fe Gene Pascua",0,0,,,1986,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48574,UBULB0051295,Thesis,"Role expectations in the family toward school achievement and actual school performance of a UPCB student","Lino, Jocelyn",0,0,,,2001,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48896,UBULB0051828,Thesis,"Paglalarawan sa partisipasyon [SIC] ng mga indibidwal sa kolektibong pagkilos ng El Shaddai bilang isang 'renewal movement' sa Lungsod ng Baguio","Trinidad, Jeremias B.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48914,UBULB0051848,Thesis,"Stress : among UPCB students","Villacarlos, Maria Reyna C.",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12219,UBULB0060863,Thesis,"Stress : among UPCB students","Villacarlos, Maria Reyna C.",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48917,UBULB0051851,Thesis,"Carmen Guerrero Nakpil and the Filipino woman","Villena, Victoria.",0,0,,,1983,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48439,UBULB0051166,"LG 995 1975 M3 F85","A study of textile workers' labor law knowledge, attitudes and relevant communication and work-connected factors","Fulgencio, Marietta V.",0,0,,,0,"Thesis - Room Use Only",Thesis,"In Process",,"Main Library",0
BC-48231,UBULB0050948,Thesis,"A comparative study of television advertisement preferences of elementary pupils of Mabini Elementary School and Marishan",,0,0,,,1991,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48715,UBULB0051516,Thesis,"An evaluation research of the Buguias Multipurpose Cooperative, Inc., Natubleng, Buguias, Benguet","Orticio, Gino Caesar R.",0,0,,,1992,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48857,UBULB0051786,Thesis,"A case study of the performance of a contract grower for the Swift Foods, Inc. Agribusiness Division in Pangasinan","Sison, Christine C.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-14949,UBULB0080417,Thesis,"A case study of the performance of a contract grower for the Swift Foods, Inc. Agribusiness Division in Pangasinan","Sison, Christine C.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48892,UBULB0051824,Thesis,"A comparative study on the job satisfaction of government and non-government employees","Todcor, Genalin Tarnate.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48720,UBULB0051521,Thesis,"Local-level initiatives in La Trinidad","Pacayuan, Irene M.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48394,UBULB0051121,Thesis,"The nutritional status of Baguio City's urban poor children 0-6 years old","Estaris, Maria Lyra Songco",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9561,UBULB0052536,Thesis,"The nutritional status of Baguio City's urban poor children 0-6 years old","Estaris, Maria Lyra Songco",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48504,UBULB0051229,Thesis,"A study on the effects of socio-economic development and public health measures on the mortality of children : Agoo and Pugo, La Union","Guzman, Valentino Rodillo L.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-49075,UBULB0052611,Thesis,"A study on the effects of socio-economic development and public health measures on the mortality of children : Agoo and Pugo, La Union","Guzman, Valentino Rodillo L.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9714,UBULB0052610,Thesis,"A study on the effects of socio-economic development and public health measures on the mortality of children : Agoo and Pugo, La Union","Guzman, Valentino Rodillo L.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48523,UBULB0051247,Thesis,"A descriptive study of the housing conditions of the household in the three military reservation in Baguio City : Fort del Pilar, Camp Allen and Navy Base","Javier, Rhoda Marie I.",0,0,,,1996,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48542,UBULB0051268,Thesis,"A study of the relationship between household and community variables and the nutritional status of Pre-school children in Agoo and Pugo, La Union","Lacuesta, Leah",0,0,,,1985,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9626,UBULB0052631,Thesis,"A study of the relationship between household and community variables and the nutritional status of Pre-school children in Agoo and Pugo, La Union","Lacuesta, Leah",0,0,,,1985,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48545,UBULB0051271,Thesis,"The effect of product advertising on consumer behavior","Lafuente, Sheilah C.",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48629,UBULB0051352,Thesis,"Revenue and expenditure patterns in Batac, Ilocos Norte (1981-1992)","Marders, Sharon",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48640,UBULB0051363,Thesis,"Central Sagada's changing agricultural calendar","Medina, Marecille B.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48641,UBULB0051365,Thesis,"Migration and adaption of Muslim migrants in Baguio City","Medina, Ma. Sulaila Song Sero",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48660,UBULB0051383,Thesis,"Coping mechanisms of retrenched miners residing in Baguio City and Itogon, Benguet","Mondares, Gail Marie T.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48672,UBULB0051469,Thesis,"The comparative study of the income allocation patterns of rural and urban households","Muñoz, Lucila P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48678,UBULB0051476,Thesis,"Change in traditional farming practices and its effect on socio-economic conditions in Hapao, Hungduan, Ifugao","Nakake, Rowena P.",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-49058,UBULB0050609,Thesis,"A comparison of the financial capability of local government units : the case of Baguio City and La Trinidad, 1983-1989","Ochoco, Anita",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48706,UBULB0051505,Thesis,"Oral reading techniques as means to improve the reading skills of learning-disabled children","Oliva, Mary Ann Balbin",0,0,,,2003,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48714,UBULB0051514,Thesis,"The &quot;suki&quot; system : a case study of Baguio meat vendors and buyers","Orteza, Nelia Alonzo",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48755,UBULB0051562,Thesis,"Sources of uncertainty in occupational choice : a study of senior students in the University of the Philippines College Baguio (1998-1999)","Picazo, Angeli",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48779,UBULB0051584,Thesis,"A study on the sustainability of fishery resources as utilized by small-scale fishermen of Bolinao, Pangasinan","Ragos, Florencio F., Jr.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48801,UBULB0051607,Thesis,"A descriptive study of the tobacco farming households : the case of barangay Lubong, Santa Lucia, Ilocos Sur","Rivera, Marlyn Halabaso",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12395,UBULB0051935,Thesis,"A descriptive study of the tobacco farming households : the case of barangay Lubong, Santa Lucia, Ilocos Sur","Rivera, Marlyn Halabaso",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48871,UBULB0051802,Thesis,"An assessment of the living and working conditions of marble miners in Romblon, Romblon","Sy, Joseph Cicero M.",0,0,,,1997,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48684,UBULB0051484,Thesis,"Religious movements and nationalism : the case of &quot;Mistica&quot; and &quot;Rizalista&quot; in Pangasinan","Natividad, Eli T.",0,0,,,1996,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48707,UBULB0051507,Thesis,"Gabriela : a national democratic women's movement from 1984-1987 in Manila","Oliveros, Phyrra Chloe Aquino",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48713,UBULB0051518,Thesis,"Historical knowledge on Philippine colonial period : a comparative study between public and private high school students","Orpilla, Doris",0,0,,,1991,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48825,UBULB0051751,Thesis,"History of local politics : Camalaniugan 1913-1934","Salvador, Loreto U.",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48929,UBULB0051858,Thesis,"A comparative study of historical knowledge on Philippine colonial and post colonial period among history major students","Wahawa, Leticia P.",0,0,,,1996,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48568,UBULB0051289,Thesis,"A study on the campaign emphasis of the different political parties during the 1988 local elections in Baguio City as conducted in the print media","Liggayu, Rudolf",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48576,UBULB0051298,Thesis,"Revenue generation capacity of the barangays in Baguio City","Llanza, Maricel B.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48643,UBULB0051368,Thesis,"The role of the city executive in the development effort of Baguio City","Mejia, Ma. Frecelyn P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48697,UBULB0051497,Thesis,"Performance satisfaction of Baguio City voters on Baguio City personalities, local institutions and governments","Nivera, Lilibeth N.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48703,UBULB0051503,Thesis,"The role of efficacy, grievance, costs, benefits and civic competence in determining organizational membership","Olaes, Mary Jane F.",0,0,,,1991,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48710,UBULB0051511,Thesis,"A comparative study of barangay officials' and members' assessment of performance of barangays in Baguio City","Opilas, Maribel",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48726,UBULB0051527,Thesis,"A case study : comparison of patrons and patronage practices in the towns of Sta. Gracia and Sta. Ana","Pagano, Lyssa Grace S.",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9498,UBULB0051528,Thesis,"A case study : comparison of patrons and patronage practices in the towns of Sta. Gracia and Sta. Ana","Pagano, Lyssa Grace S.",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9499,UBULB0051529,Thesis,"A case study : comparison of patrons and patronage practices in the towns of Sta. Gracia and Sta. Ana","Pagano, Lyssa Grace S.",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48733,UBULB0051536,Thesis,"A case study on the John Hay people's alternative development coalition","Palaruan, Marie Rose E.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48750,UBULB0051553,Thesis,"Gender difference in policy preferences","Perez, Calvin V.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48824,UBULB0051750,Thesis,"Interphasing customary laws with state law : a case study in Hapao, Hungduan, Ifugao.","Salvador, Karen Joy N.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-12399,UBULB0056495,Thesis,"Interphasing customary laws with state law : a case study in Hapao, Hungduan, Ifugao.","Salvador, Karen Joy N.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48885,UBULB0051815,Thesis,"The Baguio City elections of 1988 : a descriptive study and an analysis determining its campaign emphasis.","Tenefrancia, Edward.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48902,UBULB0051835,Thesis,"A study on elite formation in the Municipality of San Jose, Batangas","Urbano, Anna Charisma M.",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48837,UBULB0051765,Thesis,"Revenue and expenditure pattern in Urdaneta, Pangasinan (1990-1997)","Saura, Rizalyn.",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48831,UBULB0051759,Thesis,"The speech problems of UPCB Freshman students","Santiago, Salvacion G.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48309,UBULB0051035,Thesis,"A Study on the effect and viability of political manifestos on students in major colleges and universities in Baguio City","Dagamiano, Liza Irmina G.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48679,UBULB0051477,Thesis,"Ang &quot;Tigao, Honga at Chajang&quot;, isang ritwal-kaugalian, tradisyon at praktika sa Poblacion, Mayoyao, Ifugao","Nalliw, Stephanie Caroline O.",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48783,UBULB0051588,Thesis,"The constraints on the choice of technology in the production of Virginia tobacco : the case of Philippine tobacco flue-curing and redrying corporation","Cabebe, Sandra May R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9635,UBULB0052640,Thesis,"The constraints on the choice of technology in the production of Virginia tobacco : the case of Philippine tobacco flue-curing and redrying corporation","Cabebe, Sandra May R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48272,UBULB0050996,Thesis,"A study of the psychological stress and work responsibilities of working mothers","Cornejo, Marinelle P.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48818,UBULB0051745,Thesis,"Labor force participation of Baguio women workers in the service sector","Salarda, Catherine Lo.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48823,UBULB0051752,Thesis,"The effects of the social context on the self-concepts of lesbians","Salumbides, Ma. Kathrina E.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-47359,UBULB0050725,Thesis,"An indepth study on the puto-making industry in Calasiao Pangasinan : towards a formal management analysis","Bruan, Marjorie R.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48859,UBULB0051788,Thesis,"Ang nilalaman ng Turbaan Ilokano at ang implikasyon nito sa buhay ng mga tagasubaybay","Sison, Ma. Concepcion Caparas.",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-47721,UBULB0050509,Thesis,"A profile of the handicraft industry in five barangays of Manaoag, Pangasinan","Alcantara, Elmer Fernandez",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9244,UBULB0050510,Thesis,"A profile of the handicraft industry in five barangays of Manaoag, Pangasinan","Alcantara, Elmer Fernandez",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-47448,UBULB0050481,Thesis,"The status of speech communication education in the tertiary level of Baguio City, 1983-1984","Acosta, Ma. Cleotilde",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48908,UBULB0051841,Thesis,"Political attitudes and election turnout at the grassroots level : a look at the Baguio electorate during the May 9, 1994 barangay elections","Velasco, Norman Pastor",0,0,,,1995,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48827,UBULB0051754,Thesis,"Parrying the blow of the sickle : a descriptive study of the Catholic Bishops' Conference of the Philippines (CBCP) 1999 press statements on death penalty","Sanchez, Cristina G.",0,0,,,2000,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48893,UBULB0051825,Thesis,"A descriptive study on the social competence and coping mechanisms of adolescents (aged 13-16) who are living in Purok 17, Irisan dumpsite","Torio, Sherryl F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-45365,UBULB0051821,Thesis,"A descriptive study on the integration of the principles of storytelling in the presentation of the tale &quot;The Tamarind Seed&quot; by Ferdie Balanag","Tingal, Tihani F.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48866,UBULB0051796,Thesis,"A study of sexual harassment : perceptions of UPCB female undergraduates","Soriano, Franchesca Toyooka.",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48860,UBULB0051789,Thesis,"The relationship between an action's degree of insensitivity and its degree of meaningfulness","Sison, Oscar D., Jr.",0,0,,,1999,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48858,UBULB0051787,Thesis,"The use of evidence by President Corazon C. Aquino : a rhetorical analysis","Sison, Flordeliza F.",0,0,,,1986,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48846,UBULB0051775,Thesis,"Businessmen and their superstitious beliefs : a case study","Siapno, Lydia Zarah Marie G.",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48840,UBULB0051767,Thesis,"Ang proseso ng bulungan sa pantalan ng balsahan sa Naic, Cavite","Sebastian, Angelo Ryan Nazareno.",0,0,,,1994,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48754,UBULB0051561,Thesis,"An assessment of the organizational communication in Hyatt Terraces Baguio","Picardal, Pamela A.",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48796,UBULB0051598,Thesis,"An analysis of the development communication messages in Philippine Information Agency (PIA) 'Info-bits' from July 1987 to November 1988","Reyes, Josephine G.",0,0,,,1991,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48753,UBULB0051557,Thesis,"Edukasyon sa pagpapahalaga : isang kontent analisis ng mga araling nakapokus sa nasyonalismo","Petilos, Maria Gerlyn Pepito",0,0,,,1998,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48722,UBULB0051523,Thesis,"The relationship of socio-economic and psychological factors to course and occupational preferences of the fourth year high school students in Aparri (1968-87)","Pacis, Natividad F.",0,0,,,1987,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48689,UBULB0051487,Thesis,"A descriptive study of internal refugees of Lagom, Bangan and Pamplona, Cagayan","Navarro, Nadine Marie Muriera",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48685,UBULB0051483,Thesis,"An inquiry on the phenomenon of conversion","Natividad, Imelda Santos",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9482,UBULB0051482,Thesis,"An inquiry on the phenomenon of conversion","Natividad, Imelda Santos",0,0,,,1989,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48668,UBULB0051393,Thesis,"Leadership patterns in a migrant community","Morallos, Maria Allen",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9568,UBULB0052541,Thesis,"Leadership patterns in a migrant community","Morallos, Maria Allen",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48667,UBULB0051392,Thesis,"A study of occupational preferences of high school class of 1992-1993 of Manaoag, Pangasinan","Morales, Ma. Ligaya Laura O.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48738,UBULB0051541,Thesis,"Issue voting (part II)","Paragas, Aurora Del Campo",0,0,,,1988,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9630,UBULB0052635,Thesis,"Issue voting (part II)","Paragas, Aurora Del Campo",0,0,,,1988,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9508,UBULB0052131,Thesis,"Mass media exposure and the level of political awareness of the people of San Fernando, La Union","Vergara, Carmela C.",0,0,,,1985,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48259,UBULB0050983,Thesis,"An assessment of the DENR's sampling scheme in water quality monitoring of the Antamok River, Benguet","Claver, Francisca Macliing",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48648,UBULB0051373,"LG 221 B3 M46","The problem of death","Mendoza, Julius Dumpit",0,0,,,0,"Thesis - Room Use Only",Thesis,"In Process",,"Main Library",0
BG-9342,UBULB0050432,Thesis,"Emotional factors, mind set and time pressure as determinants of an individual's rationality or irrationality","Borja, Ma. Gracia",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-9339,UBULB0027148,Thesis,"A term paper [on Japanese art]","Basobas, Ira",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BG-13819,UBULB0068279,Thesis,"National Telecommunications Commission : radio laws and regulations","Guimmayen, Mae Sosa",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-48512,UBULB0052129,Thesis,"Foliar absorption of mineral nutrients","Ignacio, Leo M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-47743,UBULB0050532,Thesis,"Mass media role in the development of political awareness among Baguio residents","Alvarez, Alma M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
BC-49017,UBULB0052526,Thesis,"Mass media role in the development of political awareness among Baguio residents","Alvarez, Alma M.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Main Library",0
GRC-2990,UBULB0051480,"Research paper","A comparative study of the performance of selected cadets of the Philippine Military Academy class of 1986 in solving physics problems for the second semester of school year 1983-1984","Napa, Zenaida S.",0,0,,,0,"Thesis - Room Use Only",Thesis,"On Shelf",,"Graduate Resource Center",0
BC-48918,UBULB0051852,"LG 993.2 1983 B2 V57","An evaluation of decentralized learning resource center in San Fernando, La Union","Viriyapan, Thongtip",0,0,,,0,"Thesis - Room Use Only",Thesis,"In Process",,"Main Library",0
